danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Dark Trap,Emo,Hiphop,Pop,Rap,RnB,Trap Metal,Underground Rap,dnb,hardstyle,psytrance,techhouse,techno,trance,trap
0.582,0.448,9,-9.01,1,0.0525,0.0005,0.701,0.115,0.0375,120.04,144010,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.758,0.646,2,-10.321,1,0.0409,0.0,0.873,0.0459,0.383,123.012,336971,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.565,0.8,9,-8.854,1,0.0403,0.0,0.469,0.821,0.472,130.0,298324,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.518,0.847,4,-4.515,0,0.219,0.0106,0.0,0.261,0.525,162.931,136564,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.802,0.664,0,-8.031,1,0.0427,0.0003,0.876,0.073,0.412,125.004,222720,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.598,0.95,11,-7.023,0,0.0495,0.0001,0.789,0.672,0.118,137.993,422375,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.742,0.844,2,-4.622,1,0.0479,0.0006,0.0,0.0659,0.416,131.986,293840,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.505,0.933,11,-6.631,0,0.0423,0.0003,0.871,0.18,0.0744,150.002,345600,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.658,0.859,5,-6.186,0,0.0363,0.0249,0.0004,0.379,0.51,150.091,237600,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.702,0.489,4,-8.76,0,0.0287,0.0091,0.708,0.0911,0.337,117.028,219498,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.379,0.674,8,-5.762,0,0.0305,0.0059,0.0,0.0957,0.0644,199.594,325500,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.816,0.422,6,-16.413,0,0.229,0.198,0.704,0.111,0.0389,125.981,365925,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.786,0.609,9,-6.851,1,0.419,0.135,0.0,0.0957,0.272,181.885,126923,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.839,0.836,8,-7.6,1,0.0982,0.205,0.805,0.179,0.948,149.952,104000,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.765,0.871,11,-8.365,0,0.069,0.0003,0.891,0.0779,0.447,140.001,385455,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.556,0.63,7,-8.546,1,0.034,0.0011,0.618,0.132,0.125,183.822,260870,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.533,0.888,5,-2.8,0,0.0701,0.0499,0.0,0.114,0.505,150.086,204800,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.524,0.789,4,-7.797,1,0.0461,0.0058,0.692,0.109,0.0387,174.005,314770,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.292,0.963,1,-3.615,1,0.0392,0.0002,0.866,0.273,0.0382,175.012,244482,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
