danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.497,0.575,1,-6.77,1,0.215,0.186,0.0,0.143,0.371,128.879,211647,4,RnB
0.763,0.684,7,-8.92,1,0.0704,0.002,0.199,0.485,0.153,124.997,322897,4,techno
0.433,0.834,5,-3.987,1,0.0445,0.0001,0.0,0.121,0.495,159.98,210027,4,Emo
0.689,0.478,1,-9.142,1,0.231,0.0881,0.0,0.357,0.774,182.078,244867,4,RnB
0.469,0.789,9,-5.203,0,0.0457,0.0,0.0,0.308,0.695,146.005,193693,4,Emo
0.791,0.87,7,-6.912,1,0.0415,0.0001,0.785,0.0884,0.566,124.973,384250,4,techhouse
0.455,0.945,11,-3.47,0,0.0644,0.0016,0.0,0.379,0.313,155.027,166278,4,hardstyle
0.888,0.777,6,-6.262,1,0.0505,0.0961,0.0,0.0514,0.876,118.998,241520,4,RnB
0.576,0.486,4,-9.364,1,0.0406,0.0606,0.0001,0.093,0.337,141.951,217987,4,Emo
0.816,0.87,8,-8.039,0,0.0808,0.0,0.298,0.0315,0.548,124.016,435968,4,techhouse
0.558,0.832,5,-3.006,1,0.315,0.0157,0.0078,0.418,0.186,140.243,272571,4,trap
0.803,0.809,0,-6.686,1,0.0606,0.0,0.396,0.0597,0.266,124.994,491629,4,techhouse
0.661,0.992,9,1.949,1,0.0805,0.0266,0.648,0.666,0.479,174.068,163527,4,dnb
0.5,0.989,1,0.412,1,0.212,0.0335,0.114,0.434,0.398,150.053,190420,4,trap
0.741,0.646,2,-7.772,1,0.0779,0.0289,0.0171,0.291,0.35,159.924,216967,4,Dark Trap
0.515,0.696,10,-7.45,0,0.38,0.0154,0.0,0.654,0.172,112.809,320747,4,Rap
0.632,0.904,0,-6.879,0,0.029,0.246,0.688,0.196,0.122,111.004,211892,4,Dark Trap
0.797,0.881,6,-3.972,0,0.063,0.282,0.0,0.107,0.835,180.074,130429,4,Underground Rap
0.648,0.972,6,-6.782,0,0.0426,0.0032,0.889,0.109,0.0957,140.033,497143,4,psytrance
0.583,0.765,10,-6.191,0,0.268,0.0133,0.0,0.0582,0.571,104.733,221667,3,Hiphop
0.853,0.451,8,-10.236,1,0.213,0.14,0.0049,0.124,0.162,113.958,186479,4,Pop
0.458,0.595,11,-9.912,0,0.217,0.117,0.0,0.506,0.502,179.142,213622,4,Hiphop
0.902,0.67,10,-4.074,1,0.19,0.167,0.0,0.107,0.39,144.07,186672,4,Hiphop
0.536,0.919,11,-8.03,0,0.0411,0.0001,0.863,0.123,0.333,141.98,207896,4,psytrance
0.583,0.915,8,-5.911,0,0.0448,0.0066,0.914,0.103,0.385,175.034,297600,4,dnb
0.448,0.96,5,-1.797,0,0.388,0.029,0.0036,0.356,0.24,150.005,199200,4,hardstyle
0.473,0.951,6,-5.466,0,0.089,0.0004,0.0902,0.769,0.0777,139.977,199169,4,trap
0.565,0.914,0,-8.751,1,0.032,0.0026,0.784,0.0819,0.0362,131.01,464000,4,techno
0.501,0.894,11,-3.624,0,0.26,0.0049,0.0213,0.076,0.172,155.017,252000,4,hardstyle
0.829,0.879,10,-0.497,0,0.326,0.001,0.497,0.184,0.388,144.993,265448,4,trap
0.413,0.995,9,1.172,1,0.441,0.0256,0.0,0.589,0.0748,145.982,214722,4,trap
0.704,0.572,3,-7.107,0,0.038,0.185,0.0,0.124,0.17,180.026,118667,4,Hiphop
0.927,0.608,8,-3.659,1,0.18,0.0011,0.0,0.0471,0.912,139.979,144125,4,Trap Metal
0.515,0.936,10,-4.38,1,0.0543,0.128,0.161,0.076,0.499,149.908,240334,4,hardstyle
0.642,0.791,2,-3.859,0,0.322,0.0515,0.0,0.119,0.331,93.015,350482,4,Rap
0.493,0.984,8,-6.02,1,0.191,0.0092,0.364,0.472,0.472,175.027,322000,4,dnb
0.499,0.954,5,-1.937,0,0.0713,0.0003,0.416,0.488,0.604,174.048,271272,4,dnb
0.488,0.678,9,-5.767,1,0.131,0.149,0.0,0.107,0.192,149.815,236806,4,trap
0.918,0.537,1,-3.039,1,0.0505,0.001,0.0005,0.128,0.0975,140.036,301740,4,trap
0.816,0.558,11,-7.272,0,0.0343,0.0239,0.029,0.102,0.143,124.985,224640,4,techhouse
0.384,0.196,5,-13.427,0,0.0681,0.874,0.0,0.166,0.392,206.297,187674,4,Emo
0.61,0.867,1,-2.662,1,0.104,0.143,0.0,0.307,0.719,153.028,146226,4,Dark Trap
0.627,0.529,0,-10.058,1,0.0365,0.0019,0.0024,0.0598,0.165,129.952,138527,4,Underground Rap
0.754,0.676,1,-9.917,1,0.266,0.0339,0.916,0.107,0.0409,130.001,468000,4,techno
0.721,0.882,2,-6.995,1,0.0384,0.0001,0.499,0.271,0.586,124.001,330051,4,techhouse
0.378,0.958,7,-4.595,1,0.0982,0.0001,0.0003,0.341,0.519,169.985,183360,4,Emo
0.655,0.928,7,-5.265,1,0.0714,0.0339,0.19,0.0878,0.437,149.981,296936,4,hardstyle
0.628,0.649,8,-8.487,1,0.0487,0.067,0.879,0.0661,0.213,139.991,294896,4,Dark Trap
0.775,0.554,7,-6.448,0,0.323,0.326,0.0,0.108,0.175,144.047,214955,4,Hiphop
0.735,0.37,0,-9.603,0,0.104,0.0745,0.886,0.109,0.7,174.011,358976,4,dnb
0.781,0.787,1,-11.031,1,0.0515,0.0038,0.909,0.135,0.0366,128.011,427552,4,techno
0.727,0.62,8,-6.443,1,0.306,0.398,0.0,0.0926,0.555,210.006,169979,4,Trap Metal
0.485,0.874,8,-0.656,1,0.35,0.012,0.0,0.109,0.573,190.032,264920,4,RnB
0.762,0.919,9,-3.378,0,0.069,0.295,0.0,0.126,0.603,109.971,213013,4,Rap
0.518,0.704,6,-5.745,0,0.186,0.0051,0.0,0.343,0.224,137.934,198458,4,Trap Metal
0.781,0.951,6,-6.752,1,0.0615,0.002,0.844,0.0482,0.898,126.006,398000,4,techhouse
0.488,0.948,5,-4.53,0,0.13,0.003,0.0164,0.298,0.0964,150.026,179200,4,hardstyle
0.594,0.939,9,-3.143,1,0.153,0.005,0.0,0.342,0.722,192.61,213880,4,Emo
0.62,0.514,1,-12.451,1,0.349,0.544,0.0,0.903,0.442,171.64,187507,4,Hiphop
0.68,0.54,1,-16.135,1,0.0412,0.195,0.864,0.112,0.0377,131.989,418793,4,techno
0.719,0.931,5,-5.164,0,0.0529,0.0228,0.248,0.135,0.52,128.011,352031,4,Dark Trap
0.464,0.755,1,-9.924,0,0.0363,0.007,0.464,0.0702,0.247,145.004,181246,4,Dark Trap
0.732,0.625,1,-11.517,0,0.282,0.0138,0.0001,0.703,0.196,134.922,142310,4,Trap Metal
0.256,0.931,8,-6.466,1,0.112,0.0667,0.419,0.0954,0.433,150.157,215977,4,hardstyle
0.503,0.628,9,-7.076,0,0.0345,0.0926,0.608,0.11,0.0883,140.062,168124,4,Dark Trap
0.548,0.883,5,-6.127,0,0.0421,0.0377,0.878,0.0666,0.0919,174.984,224914,4,dnb
